,Time (q:q+length),q:q+length,Time (0:0+length),0:0+length,Time (2016+q:2016+q+length),2016+q:2016+q+length
80,2020-01-01T13:15:02.000000000Z,11,2020-01-01T13:05:02.000000000Z,16,2020-02-19T00:15:02.000000000Z,23
81,2020-01-01T13:20:03.000000000Z,13,2020-01-01T13:10:02.000000000Z,18,2020-02-19T00:20:02.000000000Z,27
82,2020-01-01T13:25:02.000000000Z,16,2020-01-01T13:15:02.000000000Z,11,2020-02-19T00:25:02.000000000Z,28
83,2020-01-01T13:30:02.000000000Z,16,2020-01-01T13:20:03.000000000Z,13,2020-02-19T00:30:02.000000000Z,28
84,2020-01-01T13:35:02.000000000Z,16,2020-01-01T13:25:02.000000000Z,16,2020-02-19T00:35:02.000000000Z,29
85,2020-01-01T13:40:02.000000000Z,17,2020-01-01T13:30:02.000000000Z,16,2020-02-19T00:40:02.000000000Z,31
86,2020-01-01T13:45:02.000000000Z,15,2020-01-01T13:35:02.000000000Z,16,2020-02-19T00:45:02.000000000Z,15
87,2020-01-01T13:50:02.000000000Z,17,2020-01-01T13:40:02.000000000Z,17,2020-02-19T00:50:28.000000000Z,13
88,2020-01-01T13:55:02.000000000Z,18,2020-01-01T13:45:02.000000000Z,15,2020-02-19T00:55:02.000000000Z,13
89,2020-01-01T14:00:02.000000000Z,14,2020-01-01T13:50:02.000000000Z,17,2020-02-19T01:00:02.000000000Z,14
90,2020-01-01T14:05:02.000000000Z,11,2020-01-01T13:55:02.000000000Z,18,2020-02-19T01:05:02.000000000Z,12
91,2020-01-01T14:10:01.000000000Z,1,2020-01-01T14:00:02.000000000Z,14,2020-02-19T01:10:02.000000000Z,14
92,2020-01-01T14:15:02.000000000Z,0,2020-01-01T14:05:02.000000000Z,11,2020-02-19T01:15:02.000000000Z,12
93,2020-01-01T14:20:02.000000000Z,3,2020-01-01T14:10:01.000000000Z,1,2020-02-19T01:20:02.000000000Z,7
94,2020-01-01T14:25:02.000000000Z,3,2020-01-01T14:15:02.000000000Z,0,2020-02-19T01:25:02.000000000Z,7
95,2020-01-01T14:30:02.000000000Z,2,2020-01-01T14:20:02.000000000Z,3,2020-02-19T01:30:02.000000000Z,6
96,2020-01-01T14:35:02.000000000Z,3,2020-01-01T14:25:02.000000000Z,3,2020-02-19T01:35:02.000000000Z,6
97,2020-01-01T14:40:02.000000000Z,3,2020-01-01T14:30:02.000000000Z,2,2020-02-19T01:40:02.000000000Z,1
98,2020-01-01T14:45:02.000000000Z,0,2020-01-01T14:35:02.000000000Z,3,2020-02-19T01:45:02.000000000Z,3
99,2020-01-01T14:50:02.000000000Z,8,2020-01-01T14:40:02.000000000Z,3,2020-02-19T01:50:02.000000000Z,1
100,2020-01-01T14:55:02.000000000Z,11,2020-01-01T14:45:02.000000000Z,0,2020-02-19T01:55:02.000000000Z,1
101,2020-01-01T15:00:27.000000000Z,16,2020-01-01T14:50:02.000000000Z,8,2020-02-19T02:00:02.000000000Z,1
102,2020-01-01T15:05:02.000000000Z,13,2020-01-01T14:55:02.000000000Z,11,2020-02-19T02:05:02.000000000Z,4
103,2020-01-01T15:10:02.000000000Z,14,2020-01-01T15:00:27.000000000Z,16,2020-02-19T02:10:02.000000000Z,4
104,2020-01-01T15:15:02.000000000Z,11,2020-01-01T15:05:02.000000000Z,13,2020-02-19T02:15:02.000000000Z,3
105,2020-01-01T15:20:02.000000000Z,13,2020-01-01T15:10:02.000000000Z,14,2020-02-19T02:20:02.000000000Z,7
106,2020-01-01T15:25:02.000000000Z,22,2020-01-01T15:15:02.000000000Z,11,2020-02-19T02:25:02.000000000Z,13
107,2020-01-01T15:30:02.000000000Z,30,2020-01-01T15:20:02.000000000Z,13,2020-02-19T02:30:02.000000000Z,19
108,2020-01-01T15:35:02.000000000Z,34,2020-01-01T15:25:02.000000000Z,22,2020-02-19T02:35:02.000000000Z,21
109,2020-01-01T15:40:02.000000000Z,37,2020-01-01T15:30:02.000000000Z,30,2020-02-19T02:40:02.000000000Z,25
110,2020-01-01T15:45:02.000000000Z,39,2020-01-01T15:35:02.000000000Z,34,2020-02-19T02:45:02.000000000Z,27
111,2020-01-01T15:50:02.000000000Z,40,2020-01-01T15:40:02.000000000Z,37,2020-02-19T02:50:02.000000000Z,25
112,2020-01-01T15:55:02.000000000Z,40,2020-01-01T15:45:02.000000000Z,39,2020-02-19T02:55:02.000000000Z,22
113,2020-01-01T16:00:02.000000000Z,36,2020-01-01T15:50:02.000000000Z,40,2020-02-19T03:00:02.000000000Z,19
114,2020-01-01T16:05:27.000000000Z,37,2020-01-01T15:55:02.000000000Z,40,2020-02-19T03:05:02.000000000Z,18
115,2020-01-01T16:10:02.000000000Z,40,2020-01-01T16:00:02.000000000Z,36,2020-02-19T03:10:03.000000000Z,17
116,2020-01-01T16:15:02.000000000Z,39,2020-01-01T16:05:27.000000000Z,37,2020-02-19T03:15:02.000000000Z,18
117,2020-01-01T16:20:02.000000000Z,39,2020-01-01T16:10:02.000000000Z,40,2020-02-19T03:20:02.000000000Z,19
118,2020-01-01T16:25:02.000000000Z,39,2020-01-01T16:15:02.000000000Z,39,2020-02-19T03:25:02.000000000Z,21
119,2020-01-01T16:30:03.000000000Z,38,2020-01-01T16:20:02.000000000Z,39,2020-02-19T03:30:02.000000000Z,22
120,2020-01-01T16:35:02.000000000Z,38,2020-01-01T16:25:02.000000000Z,39,2020-02-19T03:35:02.000000000Z,23
121,2020-01-01T16:40:02.000000000Z,38,2020-01-01T16:30:03.000000000Z,38,2020-02-19T03:40:02.000000000Z,23
122,2020-01-01T16:45:02.000000000Z,39,2020-01-01T16:35:02.000000000Z,38,2020-02-19T03:45:02.000000000Z,21
123,2020-01-01T16:50:02.000000000Z,40,2020-01-01T16:40:02.000000000Z,38,2020-02-19T03:50:02.000000000Z,21
124,2020-01-01T16:55:02.000000000Z,40,2020-01-01T16:45:02.000000000Z,39,2020-02-19T03:55:02.000000000Z,22
125,2020-01-01T17:00:02.000000000Z,40,2020-01-01T16:50:02.000000000Z,40,2020-02-19T04:00:02.000000000Z,22
126,2020-01-01T17:05:02.000000000Z,39,2020-01-01T16:55:02.000000000Z,40,2020-02-19T04:05:02.000000000Z,23
127,2020-01-01T17:10:02.000000000Z,39,2020-01-01T17:00:02.000000000Z,40,2020-02-19T04:10:02.000000000Z,23
128,2020-01-01T17:15:02.000000000Z,39,2020-01-01T17:05:02.000000000Z,39,2020-02-19T04:15:02.000000000Z,23
129,2020-01-01T17:20:02.000000000Z,40,2020-01-01T17:10:02.000000000Z,39,2020-02-19T04:20:02.000000000Z,24
130,2020-01-01T17:25:02.000000000Z,40,2020-01-01T17:15:02.000000000Z,39,2020-02-19T04:25:02.000000000Z,24
131,2020-01-01T17:30:02.000000000Z,39,2020-01-01T17:20:02.000000000Z,40,2020-02-19T04:30:02.000000000Z,22
132,2020-01-01T17:35:02.000000000Z,37,2020-01-01T17:25:02.000000000Z,40,2020-02-19T04:35:02.000000000Z,22
133,2020-01-01T17:40:02.000000000Z,37,2020-01-01T17:30:02.000000000Z,39,2020-02-19T04:40:02.000000000Z,21
134,2020-01-01T17:45:01.000000000Z,36,2020-01-01T17:35:02.000000000Z,37,2020-02-19T04:45:02.000000000Z,20
135,2020-01-01T17:50:02.000000000Z,36,2020-01-01T17:40:02.000000000Z,37,2020-02-19T04:50:02.000000000Z,20
136,2020-01-01T17:55:02.000000000Z,37,2020-01-01T17:45:01.000000000Z,36,2020-02-19T04:55:02.000000000Z,20
137,2020-01-01T18:00:02.000000000Z,38,2020-01-01T17:50:02.000000000Z,36,2020-02-19T05:00:02.000000000Z,20
138,2020-01-01T18:05:02.000000000Z,38,2020-01-01T17:55:02.000000000Z,37,2020-02-19T05:05:02.000000000Z,20
139,2020-01-01T18:10:02.000000000Z,38,2020-01-01T18:00:02.000000000Z,38,2020-02-19T05:10:02.000000000Z,20
140,2020-01-01T18:15:02.000000000Z,38,2020-01-01T18:05:02.000000000Z,38,2020-02-19T05:15:02.000000000Z,19
141,2020-01-01T18:20:02.000000000Z,38,2020-01-01T18:10:02.000000000Z,38,2020-02-19T05:20:02.000000000Z,19
142,2020-01-01T18:25:02.000000000Z,40,2020-01-01T18:15:02.000000000Z,38,2020-02-19T05:25:02.000000000Z,19
143,2020-01-01T18:30:02.000000000Z,39,2020-01-01T18:20:02.000000000Z,38,2020-02-19T05:30:02.000000000Z,18
144,2020-01-01T18:35:02.000000000Z,40,2020-01-01T18:25:02.000000000Z,40,2020-02-19T05:35:02.000000000Z,18
145,2020-01-01T18:40:02.000000000Z,34,2020-01-01T18:30:02.000000000Z,39,2020-02-19T05:40:02.000000000Z,18
146,2020-01-01T18:45:02.000000000Z,34,2020-01-01T18:35:02.000000000Z,40,2020-02-19T05:45:02.000000000Z,18
147,2020-01-01T18:50:02.000000000Z,35,2020-01-01T18:40:02.000000000Z,34,2020-02-19T05:50:02.000000000Z,17
148,2020-01-01T18:55:02.000000000Z,34,2020-01-01T18:45:02.000000000Z,34,2020-02-19T05:55:02.000000000Z,17
149,2020-01-01T19:00:02.000000000Z,32,2020-01-01T18:50:02.000000000Z,35,2020-02-19T06:00:02.000000000Z,17
150,2020-01-01T19:05:02.000000000Z,32,2020-01-01T18:55:02.000000000Z,34,2020-02-19T06:05:02.000000000Z,17
151,2020-01-01T19:10:02.000000000Z,32,2020-01-01T19:00:02.000000000Z,32,2020-02-19T06:10:02.000000000Z,15
152,2020-01-01T19:15:02.000000000Z,34,2020-01-01T19:05:02.000000000Z,32,2020-02-19T06:15:02.000000000Z,16
153,2020-01-01T19:20:02.000000000Z,33,2020-01-01T19:10:02.000000000Z,32,2020-02-19T06:20:02.000000000Z,15
154,2020-01-01T19:25:02.000000000Z,32,2020-01-01T19:15:02.000000000Z,34,2020-02-19T06:25:03.000000000Z,14
155,2020-01-01T19:30:02.000000000Z,33,2020-01-01T19:20:02.000000000Z,33,2020-02-19T06:30:02.000000000Z,11
156,2020-01-01T19:35:02.000000000Z,32,2020-01-01T19:25:02.000000000Z,32,2020-02-19T06:35:02.000000000Z,11
157,2020-01-01T19:40:03.000000000Z,32,2020-01-01T19:30:02.000000000Z,33,2020-02-19T06:40:02.000000000Z,10
158,2020-01-01T19:45:02.000000000Z,31,2020-01-01T19:35:02.000000000Z,32,2020-02-19T06:45:02.000000000Z,12
159,2020-01-01T19:50:02.000000000Z,28,2020-01-01T19:40:03.000000000Z,32,2020-02-19T06:50:02.000000000Z,11
160,2020-01-01T19:55:02.000000000Z,27,2020-01-01T19:45:02.000000000Z,31,2020-02-19T06:55:02.000000000Z,10
161,2020-01-01T20:00:02.000000000Z,26,2020-01-01T19:50:02.000000000Z,28,2020-02-19T07:00:02.000000000Z,12
162,2020-01-01T20:05:03.000000000Z,26,2020-01-01T19:55:02.000000000Z,27,2020-02-19T07:05:02.000000000Z,14
163,2020-01-01T20:10:02.000000000Z,28,2020-01-01T20:00:02.000000000Z,26,2020-02-19T07:10:02.000000000Z,13
164,2020-01-01T20:15:02.000000000Z,25,2020-01-01T20:05:03.000000000Z,26,2020-02-19T07:15:02.000000000Z,14
165,2020-01-01T20:20:02.000000000Z,24,2020-01-01T20:10:02.000000000Z,28,2020-02-19T07:20:02.000000000Z,16
166,2020-01-03T00:05:02.000000000Z,26,2020-01-01T20:15:02.000000000Z,25,2020-02-19T07:25:02.000000000Z,19
167,2020-01-03T00:10:02.000000000Z,27,2020-01-01T20:20:02.000000000Z,24,2020-02-19T07:30:03.000000000Z,19
168,2020-01-03T00:15:02.000000000Z,27,2020-01-03T00:05:02.000000000Z,26,2020-02-19T07:35:02.000000000Z,18
169,2020-01-03T00:20:02.000000000Z,27,2020-01-03T00:10:02.000000000Z,27,2020-02-19T07:40:02.000000000Z,19
170,2020-01-03T00:25:02.000000000Z,26,2020-01-03T00:15:02.000000000Z,27,2020-02-19T07:45:02.000000000Z,21
171,2020-01-03T00:30:02.000000000Z,26,2020-01-03T00:20:02.000000000Z,27,2020-02-19T07:50:02.000000000Z,22
172,2020-01-03T00:35:02.000000000Z,27,2020-01-03T00:25:02.000000000Z,26,2020-02-19T07:55:02.000000000Z,22
173,2020-01-03T00:40:02.000000000Z,27,2020-01-03T00:30:02.000000000Z,26,2020-02-19T08:00:02.000000000Z,23
174,2020-01-03T00:45:02.000000000Z,27,2020-01-03T00:35:02.000000000Z,27,2020-02-19T08:05:02.000000000Z,23
175,2020-01-03T00:50:01.000000000Z,30,2020-01-03T00:40:02.000000000Z,27,2020-02-19T08:10:02.000000000Z,24
176,2020-01-03T00:55:02.000000000Z,30,2020-01-03T00:45:02.000000000Z,27,2020-02-19T08:15:02.000000000Z,23
177,2020-01-03T01:00:02.000000000Z,31,2020-01-03T00:50:01.000000000Z,30,2020-02-19T08:20:02.000000000Z,25
178,2020-01-03T01:05:02.000000000Z,33,2020-01-03T00:55:02.000000000Z,30,2020-02-19T08:25:02.000000000Z,25
179,2020-01-03T01:10:02.000000000Z,33,2020-01-03T01:00:02.000000000Z,31,2020-02-19T08:30:02.000000000Z,24
180,2020-01-03T01:15:02.000000000Z,32,2020-01-03T01:05:02.000000000Z,33,2020-02-19T08:35:02.000000000Z,24
181,2020-01-03T01:20:02.000000000Z,31,2020-01-03T01:10:02.000000000Z,33,2020-02-19T08:40:02.000000000Z,25
182,2020-01-03T01:25:02.000000000Z,32,2020-01-03T01:15:02.000000000Z,32,2020-02-19T08:45:02.000000000Z,23
183,2020-01-03T01:30:02.000000000Z,33,2020-01-03T01:20:02.000000000Z,31,2020-02-19T08:50:02.000000000Z,23
184,2020-01-03T01:35:02.000000000Z,32,2020-01-03T01:25:02.000000000Z,32,2020-02-19T08:55:02.000000000Z,23
185,2020-01-03T01:40:02.000000000Z,31,2020-01-03T01:30:02.000000000Z,33,2020-02-19T09:00:02.000000000Z,23
186,2020-01-03T01:45:02.000000000Z,32,2020-01-03T01:35:02.000000000Z,32,2020-02-19T09:05:02.000000000Z,23
187,2020-01-03T01:50:02.000000000Z,29,2020-01-03T01:40:02.000000000Z,31,2020-02-19T09:10:03.000000000Z,24
188,2020-01-03T01:55:02.000000000Z,26,2020-01-03T01:45:02.000000000Z,32,2020-02-19T09:15:02.000000000Z,24
189,2020-01-03T02:00:02.000000000Z,26,2020-01-03T01:50:02.000000000Z,29,2020-02-19T09:20:02.000000000Z,24
190,2020-01-03T02:05:02.000000000Z,26,2020-01-03T01:55:02.000000000Z,26,2020-02-19T09:25:02.000000000Z,23
191,2020-01-03T02:10:02.000000000Z,26,2020-01-03T02:00:02.000000000Z,26,2020-02-19T09:30:02.000000000Z,20
192,2020-01-03T02:15:02.000000000Z,23,2020-01-03T02:05:02.000000000Z,26,2020-02-19T09:35:02.000000000Z,19
193,2020-01-03T02:20:02.000000000Z,24,2020-01-03T02:10:02.000000000Z,26,2020-02-19T09:40:02.000000000Z,20
194,2020-01-03T02:25:02.000000000Z,25,2020-01-03T02:15:02.000000000Z,23,2020-02-19T09:45:02.000000000Z,19
195,2020-01-03T02:30:02.000000000Z,22,2020-01-03T02:20:02.000000000Z,24,2020-02-19T09:50:02.000000000Z,20
196,2020-01-03T02:35:02.000000000Z,25,2020-01-03T02:25:02.000000000Z,25,2020-02-19T09:55:02.000000000Z,21
197,2020-01-03T02:40:02.000000000Z,24,2020-01-03T02:30:02.000000000Z,22,2020-02-19T10:00:02.000000000Z,20
198,2020-01-03T02:45:02.000000000Z,22,2020-01-03T02:35:02.000000000Z,25,2020-02-19T10:05:02.000000000Z,21
199,2020-01-03T02:50:02.000000000Z,23,2020-01-03T02:40:02.000000000Z,24,2020-02-19T10:10:02.000000000Z,19
200,2020-01-03T02:55:02.000000000Z,21,2020-01-03T02:45:02.000000000Z,22,2020-02-19T10:15:02.000000000Z,20
201,2020-01-03T03:00:02.000000000Z,21,2020-01-03T02:50:02.000000000Z,23,2020-02-19T10:20:02.000000000Z,23
202,2020-01-03T03:05:02.000000000Z,21,2020-01-03T02:55:02.000000000Z,21,2020-02-19T10:25:02.000000000Z,25
203,2020-01-03T03:10:02.000000000Z,18,2020-01-03T03:00:02.000000000Z,21,2020-02-19T10:30:02.000000000Z,25
204,2020-01-03T03:15:02.000000000Z,20,2020-01-03T03:05:02.000000000Z,21,2020-02-19T10:35:02.000000000Z,24
205,2020-01-03T03:20:03.000000000Z,22,2020-01-03T03:10:02.000000000Z,18,2020-02-19T10:40:02.000000000Z,23
206,2020-01-03T03:25:02.000000000Z,23,2020-01-03T03:15:02.000000000Z,20,2020-02-19T10:45:02.000000000Z,24
207,2020-01-03T03:30:02.000000000Z,24,2020-01-03T03:20:03.000000000Z,22,2020-02-19T10:50:02.000000000Z,21
208,2020-01-03T03:35:02.000000000Z,25,2020-01-03T03:25:02.000000000Z,23,2020-02-19T10:55:02.000000000Z,20
209,2020-01-03T03:40:02.000000000Z,23,2020-01-03T03:30:02.000000000Z,24,2020-02-19T11:00:02.000000000Z,23
210,2020-01-03T03:45:02.000000000Z,17,2020-01-03T03:35:02.000000000Z,25,2020-02-19T11:05:02.000000000Z,18
211,2020-01-03T03:50:02.000000000Z,12,2020-01-03T03:40:02.000000000Z,23,2020-02-19T11:10:02.000000000Z,16
212,2020-01-03T03:55:02.000000000Z,9,2020-01-03T03:45:02.000000000Z,17,2020-02-19T11:15:02.000000000Z,18
